State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Kakada,Kakada,Local,16-05-2026,170000,175000,172500
Kerala,Kannur,Payyannur APMC,Black pepper,Other,Local,16-05-2026,62000,64000,63000
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ),Jasmine,Jasmine,Local,16-05-2026,60000,65000,62500
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Tube Flower,Tube Flower,Local,16-05-2026,50000,60000,55000
Tamil Nadu,Namakkal,Rasipuram(Uzhavar Sandhai ),Jasmine,Jasmine,Local,16-05-2026,40000,50000,45000
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Jasmine,Jasmine,Local,16-05-2026,40000,50000,45000
Kerala,Kannur,Payyannur APMC,Arecanut(Betelnut/Supari),Other,Local,16-05-2026,42000,44000,43000
Tamil Nadu,Ramanathapuram,Paramakudi(Uzhavar Sandhai ),Kakada,Kakada,Local,16-05-2026,40000,45000,42500
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ),Kakada,Kakada,Local,16-05-2026,40000,42000,41000
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,16-05-2026,40000,40000,40000
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ),Rose(Local),Rose (Local),Local,16-05-2026,35000,35000,35000
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,Jasmine,Jasmine,Local,16-05-2026,30000,35000,32500
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,16-05-2026,28000,30000,29000
Tamil Nadu,Namakkal,Rasipuram(Uzhavar Sandhai ),Marigold(Calcutta),Marigold(Calcutta),Local,16-05-2026,28000,30000,29000
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,27000,28000,27500
Tamil Nadu,Coimbatore,Singanallur(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,26000,27000,26500
Tamil Nadu,Dharmapuri,Dharmapuri(Uzhavar Sandhai ),Lemon,Lemon,Local,16-05-2026,25500,26500,26000
Tamil Nadu,Madurai,Chokkikulam(Uzhavar Sandhai ),Pomegranate,Pomogranate,Local,16-05-2026,24000,28000,26000
Tamil Nadu,Coimbatore,Vadavalli(Uzhavar Sandhai ),Apple,American,Local,16-05-2026,25000,27000,26000
